Trainer ID,Name,Gender,Email,Phone Number,Employment Status,Certificates,Specialization,Salary,Hiring Date,Seniority
30164,Lina ElSayed,F,linaelsayed@gmail.com,1228922680,Active,CrossFit Level 1 Trainer,Sports Coach,7404,2025-02-13,Junior
30144,Ibrahim Mansour,M,ibrahimmansour@gmail.com,1067065405,Active,NASM (National Academy of Sports Medicine),Athletic Trainer,8346,2024-09-28,Junior
30037,Ilyas Sabry,M,ilyassabry@gmail.com,1084271094,Active,ISSA (International Sports Sciences Association),Athletic Trainer,10070,2024-12-10,Senior
30097,Aya Youssef,F,ayayoussef@gmail.com,1171111615,Active,ACSM (American College of Sports Medicine),Sports Coach,7761,2025-09-26,Junior
30056,Nahed Abd Elaziz,F,nahedabdelaziz@gmail.com,1513171274,Active,CPR & First Aid Certified,Health Coach,11925,2024-05-16,Senior
30118,Samir Yasin,M,samiryasin@gmail.com,1517744905,Active,ISSA (International Sports Sciences Association); CPR & First Aid Certified; NSCA (National Strength and Conditioning Association),Health Coach,8889,2022-05-08,Junior
30042,Alaa Elsayed,F,alaaelsayed@gmail.com,1091334123,Active,CPR & First Aid Certified; CrossFit Level 1 Trainer; ACSM (American College of Sports Medicine),Fitness Trainer,10954,2022-04-28,Senior
30015,Yassin ElGohary,M,yassinelgohary@gmail.com,1570546688,Active,ACSM (American College of Sports Medicine); ISSA (International Sports Sciences Association); CPR & First Aid Certified,Sports Coach,10131,2023-07-10,Senior
30091,Ramadan ElSayed,M,ramadanelsayed@gmail.com,1078390847,Active,ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association),Wellness Specialist,8013,2023-06-21,Junior
30184,Mostafa Tawfik,M,mostafatawfik@gmail.com,1594705516,Active,ACE (American Council on Exercise); ISSA (International Sports Sciences Association),Bodybuilding Coach,7448,2023-05-30,Junior
30135,Zakaria Shawky,M,zakariashawky@gmail.com,1147826137,Active,CrossFit Level 1 Trainer; ACE (American Council on Exercise),Wellness Specialist,7508,2024-05-06,Junior
30027,Mohsen Omran,M,mohsenomran@gmail.com,1298776945,Active,CrossFit Level 1 Trainer; NSCA (National Strength and Conditioning Association),Health Coach,7623,2021-06-05,Junior
30182,Marwan ElSayed,M,marwanelsayed@gmail.com,1278729825,Active,ISSA (International Sports Sciences Association); NASM (National Academy of Sports Medicine); ACSM (American College of Sports Medicine),Exercise Specialist,10271,2025-09-12,Senior
30018,Ibrahim ElBaz,M,ibrahimelbaz@gmail.com,1016272046,Active,NSCA (National Strength and Conditioning Association); CrossFit Level 1 Trainer; ACSM (American College of Sports Medicine),Exercise Specialist,7383,2023-10-22,Junior
30140,Sally Tawfik,F,sallytawfik@gmail.com,1234103697,Active,ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association),Personal Trainer,8154,2024-05-03,Junior
30007,Kamal Eissa,M,kamaleissa@gmail.com,1179176936,Active,NSCA (National Strength and Conditioning Association); ISSA (International Sports Sciences Association); ACSM (American College of Sports Medicine),Health Coach,10484,2024-07-26,Senior
30126,Aya Ibrahim,F,ayaibrahim@gmail.com,1246291486,Active,NSCA (National Strength and Conditioning Association); CPR & First Aid Certified; ISSA (International Sports Sciences Association),Wellness Specialist,7335,2024-10-17,Junior
30022,Nada Barakat,F,nadabarakat@gmail.com,1093745299,Active,NASM (National Academy of Sports Medicine),Health Coach,8067,2022-05-05,Junior
30121,Mohamed Metwaly,M,mohamedmetwaly@gmail.com,1593597820,Active,NSCA (National Strength and Conditioning Association),Personal Trainer,7161,2024-11-17,Junior
30050,Mariam Eissa,F,mariameissa@gmail.com,1196717565,Active,ACE (American Council on Exercise); ISSA (International Sports Sciences Association),Exercise Specialist,9899,2023-11-06,Senior
30002,Khaled Mostafa,M,khaledmostafa@gmail.com,1214846564,Active,NASM (National Academy of Sports Medicine),Bodybuilding Coach,8158,2021-12-04,Junior
30152,Ahmed Hassan,M,ahmedhassan@gmail.com,1596275705,Active,ACE (American Council on Exercise),Lifestyle Coach,13830,2023-05-25,Fitness Manager
30180,Reda Sabry,M,redasabry@gmail.com,1021655852,Active,CPR & First Aid Certified; ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association),Wellness Specialist,7360,2024-01-07,Junior
30116,Ashraf Fathy,M,ashraffathy@gmail.com,1143292127,Active,NSCA (National Strength and Conditioning Association),Lifestyle Coach,7353,2024-08-26,Junior
30176,Hagar Barakat,F,hagarbarakat@gmail.com,1139500479,Active,ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association); NASM (National Academy of Sports Medicine),Exercise Specialist,10650,2023-07-08,Senior
30036,Mona ElGohary,F,monaelgohary@gmail.com,1152408240,Active,CPR & First Aid Certified; ACSM (American College of Sports Medicine),Lifestyle Coach,8702,2025-04-10,Junior
30139,Saber ElSayed,M,saberelsayed@gmail.com,1043289861,Active,ISSA (International Sports Sciences Association),Wellness Specialist,7935,2022-09-05,Junior
30054,Bassam Metwaly,M,bassammetwaly@gmail.com,1570348247,Active,CPR & First Aid Certified,Sports Coach,11159,2025-06-30,Senior
30011,Ayman ElMasry,M,aymanelmasry@gmail.com,1543487347,Active,NASM (National Academy of Sports Medicine); ISSA (International Sports Sciences Association),Exercise Specialist,7559,2025-10-13,Junior
30101,Saber Rashad,M,saberrashad@gmail.com,1293689980,Active,NASM (National Academy of Sports Medicine); ACSM (American College of Sports Medicine); ACE (American Council on Exercise),Health Coach,10907,2022-09-08,Senior
30047,Gaber Elsayed,M,gaberelsayed@gmail.com,1264887719,Active,ACSM (American College of Sports Medicine); ACE (American Council on Exercise),Lifestyle Coach,7050,2024-02-05,Junior
30003,Hany Shoukry,M,hanyshoukry@gmail.com,1136629946,Active,ACE (American Council on Exercise); CrossFit Level 1 Trainer,Exercise Specialist,7432,2025-04-09,Junior
30198,Khaled Elsayed,M,khaledelsayed@gmail.com,1026206724,Active,CPR & First Aid Certified,Athletic Trainer,9777,2024-05-02,Senior
30045,Iman Habeeb,F,imanhabeeb@gmail.com,1161832421,Active,ISSA (International Sports Sciences Association); ACSM (American College of Sports Medicine),Personal Trainer,8188,2025-03-31,Junior
30178,Khadija Youssef,F,khadijayoussef@gmail.com,1550609835,Active,ACE (American Council on Exercise); NASM (National Academy of Sports Medicine); NSCA (National Strength and Conditioning Association),Bodybuilding Coach,10487,2024-02-06,Senior
30032,Ayman Mostafa,M,aymanmostafa@gmail.com,1043634957,Active,ACSM (American College of Sports Medicine); ISSA (International Sports Sciences Association),Personal Trainer,11858,2025-10-10,Senior
30131,Sanaa Saeed,F,sanaasaeed@gmail.com,1065379473,Active,CPR & First Aid Certified,Lifestyle Coach,7522,2022-08-03,Junior
30174,Magdy Khaled,M,magdykhaled@gmail.com,1532595327,Active,NASM (National Academy of Sports Medicine); ACE (American Council on Exercise),Health Coach,11557,2024-04-03,Senior
30063,Ibrahim Elsayed,M,ibrahimelsayed@gmail.com,1518702621,Active,ACE (American Council on Exercise); NASM (National Academy of Sports Medicine),Personal Trainer,7641,2022-08-17,Junior
30106,Ibrahim Nabil,M,ibrahimnabil@gmail.com,1579764381,Active,NSCA (National Strength and Conditioning Association); CPR & First Aid Certified,Sports Coach,7436,2025-07-14,Junior
30117,Farah Abd Elaziz,F,farahabdelaziz@gmail.com,1599799552,Active,ACE (American Council on Exercise),Athletic Trainer,7138,2022-02-02,Junior
30109,Hesham Khalifa,M,heshamkhalifa@gmail.com,1245107622,Active,ACE (American Council on Exercise); NASM (National Academy of Sports Medicine); NSCA (National Strength and Conditioning Association),Athletic Trainer,10072,2023-05-27,Senior
30040,Dina Shawky,F,dinashawky@gmail.com,1213186999,Active,CrossFit Level 1 Trainer; NSCA (National Strength and Conditioning Association); CPR & First Aid Certified,Wellness Specialist,8113,2021-08-06,Junior
30125,Yahya Abd Elaziz,M,yahyaabdelaziz@gmail.com,1544925192,Active,NASM (National Academy of Sports Medicine); CPR & First Aid Certified; ACE (American Council on Exercise),Fitness Trainer,10219,2022-09-06,Senior
30049,Dina Gawad,F,dinagawad@gmail.com,1049027874,Active,ACSM (American College of Sports Medicine); ISSA (International Sports Sciences Association); CrossFit Level 1 Trainer,Personal Trainer,7932,2025-10-15,Junior
30123,Mohamed Gawad,M,mohamedgawad@gmail.com,1588925546,Non Active,ACSM (American College of Sports Medicine),Personal Trainer,10477,2022-05-03,Senior
30199,Tarek Sabry,M,tareksabry@gmail.com,1004991547,Active,CPR & First Aid Certified; ACSM (American College of Sports Medicine),Health Coach,7002,2023-06-28,Junior
30102,Reda Helmy,M,redahelmy@gmail.com,1202445502,Active,CrossFit Level 1 Trainer; ACE (American Council on Exercise); CPR & First Aid Certified,Lifestyle Coach,10437,2024-02-28,Senior
30134,Sanaa Nabil,F,sanaanabil@gmail.com,1075818141,Active,ISSA (International Sports Sciences Association),Health Coach,9644,2025-02-10,Senior
30185,Gaber Omran,M,gaberomran@gmail.com,1209749930,Active,CPR & First Aid Certified; NASM (National Academy of Sports Medicine),Sports Coach,10325,2025-08-12,Senior
30031,Ayman ElNaggar,M,aymanelnaggar@gmail.com,1167837770,Active,CPR & First Aid Certified; CrossFit Level 1 Trainer; ACSM (American College of Sports Medicine),Athletic Trainer,8983,2023-03-07,Junior
30114,Karim Elsherif,M,karimelsherif@gmail.com,1064535218,Active,ISSA (International Sports Sciences Association); NASM (National Academy of Sports Medicine),Fitness Trainer,7145,2024-12-21,Junior
30167,Yasmine Amin,F,yasmineamin@gmail.com,1082992299,Active,NASM (National Academy of Sports Medicine); CrossFit Level 1 Trainer,Sports Coach,7783,2025-01-09,Junior
30141,Walaa Abdelrahman,F,walaaabdelrahman@gmail.com,1017980893,Active,NSCA (National Strength and Conditioning Association); NASM (National Academy of Sports Medicine); CPR & First Aid Certified,Personal Trainer,8990,2025-05-26,Junior
30060,Gaber Shoukry,M,gabershoukry@gmail.com,1555886753,Non Active,ACSM (American College of Sports Medicine); NSCA (National Strength and Conditioning Association); CrossFit Level 1 Trainer,Wellness Specialist,8978,2025-07-19,Junior
30019,Hesham Abdelrahman,M,heshamabdelrahman@gmail.com,1237556464,Active,NSCA (National Strength and Conditioning Association); ACE (American Council on Exercise),Lifestyle Coach,7211,2021-07-15,Junior
30093,Omar Youssef,M,omaryoussef@gmail.com,1059212499,Active,ACE (American Council on Exercise),Exercise Specialist,7094,2022-07-10,Junior
30128,Marwan Mahmoud,M,marwanmahmoud@gmail.com,1223573322,Active,ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association),Wellness Specialist,8579,2022-03-06,Junior
30038,Hussein ElMasry,M,husseinelmasry@gmail.com,1577520471,Active,ACE (American Council on Exercise); ACSM (American College of Sports Medicine),Health Coach,8348,2022-04-03,Junior
30177,Nourhan Youssef,F,nourhanyoussef@gmail.com,1548016245,Active,CPR & First Aid Certified,Lifestyle Coach,8994,2023-10-20,Junior
30084,Kamal Saeed,M,kamalsaeed@gmail.com,1177351585,Active,CPR & First Aid Certified,Personal Trainer,7259,2022-09-16,Junior
30156,Adel Adel,M,adeladel@gmail.com,1092856543,Active,CrossFit Level 1 Trainer,Fitness Trainer,8405,2024-05-04,Junior
30021,Kawthar Tawfik,F,kawthartawfik@gmail.com,1033092327,Active,NSCA (National Strength and Conditioning Association); NASM (National Academy of Sports Medicine); CrossFit Level 1 Trainer,Lifestyle Coach,11194,2023-07-26,Senior
30165,Ibrahim Abdallah,M,ibrahimabdallah@gmail.com,1082422535,Active,ACSM (American College of Sports Medicine),Lifestyle Coach,8698,2024-06-29,Junior
30145,Ghada ElSayed,F,ghadaelsayed@gmail.com,1053195205,Active,ACE (American Council on Exercise); NASM (National Academy of Sports Medicine),Health Coach,11670,2023-12-20,Senior
